Betas,Std. Errors
7.8192,0.0487
0.3021,0.0433
0.4764,0.1020
0.2735,0.0506
7.8192,0.0487
0.3021,0.0433
0.4763,0.1020
0.2735,0.0506
-0.4353,0.0831
0.1362,0.0487
-0.1256,0.1129
0.2713,0.0614
0.8497,0.1241
-0.1442,0.2776
-0.1439,0.0520
-0.2302,0.0336
0.2301,0.0429
0.2872,0.0643
-0.1597,0.0964
0.1716,0.0432
0.3195,0.0624
-0.0757,0.0881
0.0052,0.0430
0.2838,0.1100
0.1296,0.0491
0.2092,0.0545
-0.0066,0.1082
0.0268,0.0794
0.0433,0.0398
-0.2655,0.0514
0.0828,0.0331
0.1826,0.0424
0.3031,0.0636
-0.2160,0.0953
0.1556,0.0428
0.2362,0.0617
-0.0339,0.0871
0.0649,0.0425
0.3181,0.1088
0.0982,0.0485
0.2084,0.0539
-0.0081,0.1069
0.0853,0.0785
0.0051,0.0393
-0.3435,0.0525
0.1562,0.0339
0.2216,0.0434
0.3856,0.0651
-0.0769,0.0975
0.1386,0.0437
0.2559,0.0631
-0.1234,0.0891
0.0209,0.0435
0.2846,0.1113
0.1825,0.0496
0.2464,0.0552
-0.0222,0.1094
0.0040,0.0803
0.0198,0.0402
-0.2308,0.0536
0.0126,0.0346
0.1829,0.0442
0.3644,0.0663
-0.1697,0.0994
0.1493,0.0446
0.2966,0.0643
-0.0446,0.0908
-0.0183,0.0444
0.2553,0.1135
0.1090,0.0506
0.1643,0.0562
0.0080,0.1116
0.0010,0.0819
-0.0114,0.0410
0.1365,0.0133
0.1365,0.0133
-0.6705,0.0204
-0.5505,0.0171
-0.5019,0.0167
-0.5623,0.0183
0.1448,0.0326
0.1448,0.0326
0.0370,0.0362
0.9110,0.0220
0.9132,0.0228
0.9871,0.0234
-0.3168,0.0202